,Product Name,Price,Description,Review
0,"realme 11 Pro 5G (Astral Black, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4
1,"realme 11 Pro 5G (Oasis Green, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4
2,"realme 11 Pro 5G (Sunrise Beige, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4
3,"realme 11 Pro 5G (Sunrise Beige, 128 GB)","₹21,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4
4,"realme 11 Pro 5G (Oasis Green, 128 GB)","₹21,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4
5,"realme 10 (Rush Black, 128 GB)","₹12,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryMediatek Helio G99 Octa Core Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3
6,"realme 10 (Clash White, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryMediatek Helio G99 Octa Core Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.1
7,"realme C55 (Sunshower, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
8,"realme C55 (Sunshower, 64 GB)","₹13,999",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
9,"realme C55 (Rainforest, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
10,"realme C55 (Rainy Night, 128 GB)","₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
11,"realme C55 (Rainy Night, 64 GB)","₹11,999",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
12,"realme C55 (Rainforest, 128 GB)","₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
13,"realme C55 (Sunshower, 128 GB)","₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
14,"realme C55 (Rainforest, 64 GB)","₹11,999",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
15,"realme C55 (Rainy Night, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
16,realme Narzo 60x 5G,"₹14,350",4 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.3
17,"realme Narzo N53 (Feather Gold, 64 GB)","₹8,850",4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories,4.2
18,"realme Narzo N53 (Feather Black, 128 GB)","₹10,794",6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories,4.2
19,"realme Narzo N53 (Feather Black, 128 GB)","₹11,128",8 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories,4.2
20,"realme Narzo N53 (Feather Black, 64 GB)","₹8,845",4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories,4.2
21,"realme Narzo N55 (Prime Black, 128 GB)","₹10,988",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display64MP Rear Camera5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3
22,"realme Narzo N55 (Prime Black, 64 GB)","₹10,188",4 GB RAM | 64 GB ROM17.07 cm (6.72 inch) Display64MP Rear Camera5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3
23,"realme Narzo 60X 5G (Stellar Green, 128 GB)","₹14,399",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera5000 mAh BatteryDomestic Warranty 1 Year For Handset and 6 Months For Accessories.,4.3
24,"realme Narzo 60X 5G (Nebula Purple, 128 GB)","₹14,799",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera5000 mAh BatteryDomestic Warranty 1 Year For Handset and 6 Months For Accessories.,4.3
25,"realme Narzo 60x 5G (Stellar Green, 128 GB)","₹13,318",4 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.3
26,"realme Narzo 60 5G (Mars Orange, 256 GB)","₹19,965",8 GB RAM | 256 GB ROM16.33 cm (6.43 inch) Display64MP Rear Camera5000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,4.3
27,"realme Narzo 60 5G (Mars Orange, 128 GB)","₹17,552",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Display64MP Rear Camera5000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,4.3
28,"realme Narzo 60 5G (?Cosmic Black, 128 GB)","₹17,998",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Display64MP Rear Camera5000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,4.3
29,"realme Narzo 50i Prime (Dark Blue, 64 GB)","₹8,195",4 GB RAM | 64 GB ROM16.51 cm (6.5 inch) Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T612 processor Processor1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.1
30,"realme Narzo N53 (Feather Gold, 64 GB)","₹9,387",4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories,4.2
31,"realme Narzo 50i Prime (Mint Green, 64 GB)","₹7,828",4 GB RAM | 64 GB ROM16.51 cm (6.5 inch) Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T612 processor Processor1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.1
32,"realme Narzo N55 (Prime Blue, 64 GB)","₹10,199",4 GB RAM | 64 GB ROM17.07 cm (6.72 inch) Display64MP Rear Camera5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3
33,"realme Narzo 60 pro 5G (Cosmic Black, 256 GB)","₹25,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display100MP Rear Camera5000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,4.3
34,"realme Narzo 60 Pro 5G (Mars orange, 128 GB)","₹21,297",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display100MP Rear Camera5000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,4.3
35,"realme GT 5G (Dashing Blue, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP | 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 888 Processor1 Year Warranty for Mobile and 6 Months for Accessories,4.2
36,"realme Narzo N53 (Feather Gold, 128 GB)","₹10,270",6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories,4.2
37,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryMediatek Dimensity 1080 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.4
38,"realme Narzo N53 (Feather Gold, 128 GB)","₹11,399",8 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories,4.2
39,"realme Narzo 60 pro 5G (?Cosmic Black, 128 GB)","₹20,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display100MP Rear Camera5000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,4.3
40,"realme Narzo N53 (Feather Gold, 128 GB)","₹10,314",6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories,4.2
41,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryMediatek Dimensity 1080 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.4
42,"realme Narzo N55 (Prime Blue, 128 GB)","₹10,730",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display64MP Rear Camera5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3
